fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210904 214307	-0.759063092032738	3825	381	15	5	2582500
20210904 214338	-0.216699350034469	2684	1268	5	5	2070000
20210904 214440	-0.92637689558469	4148	290	14	5	2272500
20210904 214516	-0.0686376903162453	5680	1591	6	5	2206250
20210904 214608	-0.514226902594964	6726	1699	17	5	2315000
20210904 214650	-0.702651008235989	7583	703	8	5	2432500
20210904 214718	-0.574356968361826	1361	227	3	5	2661250
20210904 214810	-0.152523844482494	4935	1043	11	5	2050000
20210904 214906	-0.968901075470785	5482	978	16	5	2018750
20210904 214931	0.0757216265192255	7052	752	18	5	0
20210904 214959	-0.860474994900869	6039	1997	4	5	2186250
20210904 215106	-0.321511470033147	3463	57	10	5	2742500
20210904 215208	-0.615721599501558	5503	305	15	5	2076250
20210904 215307	-0.908724474499468	2592	1293	20	5	2620000
20210904 215334	-0.0539435534505173	7166	1940	4	5	2315000
20210904 215425	-0.346258522779681	5319	1931	18	5	2185000
20210904 215537	-0.664460249921713	757	1	10	5	3097500
20210904 215633	-0.680751921822847	3341	1670	12	5	2538750
20210904 215809	-0.760402650761376	5	1	18	5	2280000
20210904 215913	-0.679820503313639	2362	3	9	5	3203750
20210904 220017	-0.706453791361209	1911	401	9	5	3871250
20210904 220126	-0.691177174564886	1747	587	10	5	3890000
20210904 220232	-0.737926388181856	1370	564	9	5	4151250
20210904 220321	-0.803522409465732	1408	704	8	5	4113750
20210904 220414	-0.788247499938048	1168	583	9	5	4015000
20210904 220502	-0.741549762797419	1469	734	8	5	3782500
