fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210904 193634	-0.629511709178041	6363	915	9	5	2157500
20210904 193724	-0.666043979527603	4441	1481	6	5	3842500
20210904 193821	-0.266472951072501	4731	1750	14	5	2597500
20210904 193923	-0.130378479171486	2668	820	7	5	3963750
20210904 194100	-0.422356003227469	1562	241	16	5	4708750
20210904 194215	-0.818223066927749	1266	578	11	5	5192500
20210904 194308	-0.457869901525555	3601	1255	10	5	3456250
20210904 194341	-0.0562288883695146	5353	1224	5	5	2432500
20210904 194435	-0.233073943684576	7848	1609	13	5	2368750
20210904 194458	0.096065388027637	2195	124	19	5	0
20210904 194555	-0.873663308082905	5803	306	12	5	2616250
20210904 194623	-0.526868417476362	7411	1938	4	5	2368750
20210904 194656	0.0184817554618348	6560	434	17	5	0
20210904 194754	-0.46913285862344	6361	350	12	5	2157500
20210904 194818	-0.91240039562496	4267	695	3	5	3507500
20210904 194914	-0.541637441702187	6611	1583	13	5	2368750
20210904 194944	-0.660413913109835	6	3	4	5	3607500
20210904 195055	-0.802223932752217	1376	688	20	5	4348750
20210904 195146	-0.343707993826306	1026	513	8	5	4691250
20210904 195238	-0.952087004803553	2734	1367	9	5	3310000
20210904 195348	-0.676320435661737	913	452	14	5	4723750
20210904 195434	-0.779774964622399	1270	634	6	5	5093750
20210904 195529	-0.831906324450956	874	437	9	5	4463750
20210904 195622	-0.773946836219381	1413	705	11	5	4435000
20210904 195712	-0.629250436424778	1197	148	12	5	4398750
20210904 195755	-0.999949169931075	1254	623	9	5	4800000
