fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211122 142857	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	99.8	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	42.7976244580932	0.650360832637758	10	0.0473257847740035	4331125	4246125	0.061744202589273	4327500	3927500	1
20211122 143020	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	34.6	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	96	98.2007323182188	142.287408231059	180	234	70.8182031358592	0.196051575906051	10	0.0494037307624714	4915750	4775750	0.0539362138367938	5043750	4793750	2
20211122 143228	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	62.8	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	59.9724111352116	0.530324685355707	10	0.0455800758203409	5486875	5656875	0.0409145305582754	5538750	5888750	3
20211122 143519	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	33.2	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	74.4859306421131	0.516056260660232	10	0.0445683010720293	4253000	4258000	0.0405295707698359	4146250	4346250	4
20211122 143832	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	39.9	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	213	73.1088680448011	63.825186380418	8218	7	32.2289680661634	0.267486313695437	10	0.0489878068171357	3922875	3692875	0.0523796373009298	3976250	3726250	5
20211122 144144	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	92.6	232	TRUE	0.123699772359687	0.180681682141731	0.982049080290599	401	9.05543825851055	90	170.645059270319	155.898697618395	353	488	64.0808299635537	0.802700850204914	10	0.0416409329416786	5075250	4850250	0.0495426510339518	5150000	4900000	6
20211122 144428	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	27	222	TRUE	0.180688375353231	0.578350096669747	0.248918626999948	111	13.83273416257	53	91.4323899499141	152.529438659549	16098	7	25.1164709297009	0.4647782075305	10	0.0400266124375486	3461375	3571375	0.0404877273145707	3402500	3552500	7
20211122 144756	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	35.5	248	TRUE	0.0827439808099298	0.526902774552582	0.43905542238499	686	29.8489984907792	35	145.756030876655	25.0160459976178	478	330	61.0390264387242	0.734272518527927	10	0.0445390106533437	4212375	4247375	0.0330228548952658	4167500	4467500	8
20211122 145100	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	25.1	228	TRUE	0.141190576664289	0.53469796170597	0.224424025379121	779	38.4437381205498	69	23.8999882002827	106.077681193128	27	1655	89.9877395792864	0.20835182041378	10	0.0507151046504816	4059875	3999875	0.0322110918631217	3988750	4538750	9
20211122 145425	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	33.4	270	TRUE	0.0564167413106188	0.393141975092585	0.336062858877121	238	25.2053350413917	275	105.958131392254	175.747140721651	33	1868	87.8309184373356	0.287293274377356	10	0.03863657285364	4339000	4334000	0.0354497753006452	4355000	4405000	10
20211122 145541	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37.4	254	TRUE	0.0729543880213751	0.646814089944819	0.289498068473767	21	39.8467836764758	71	169.506497381954	9.25320045556873	2373	38	44.9304861323908	0.42264233543718	10	0.0459248658917259	3290375	3500375	0.0425715313867758	3241250	3641250	11
20211122 145855	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	96.4	226	TRUE	0.149743928799639	0.197813707141322	0.722244755894644	304	1.34586247993866	173	46.853309533326	65.4381254606415	1272	133	51.2145399888977	0.785575279520126	10	0.0396249152670031	5461375	5141375	0.0544467039910288	5417500	5567500	12
20211122 150016	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37.1	221	TRUE	0.185907965913648	0.761753523583175	0.557210804190836	92	5.73205838736612	15	58.5665491421241	46.072305245325	1017	103	53.4691167771816	0.486587978644879	10	0.0459123128551463	5217250	5062250	0.0494589641234215	5362500	5262500	13
20211122 150311	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	28.9	223	TRUE	0.168357995586004	0.366092126867734	0.703055862876354	370	41.4127897351864	188	118.996193393832	116.775415604934	84	899	78.4987808931619	0.35182165902626	10	0.0494413898722101	4660125	4430125	0.0533755115362406	4877500	4427500	14
20211122 150440	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	43.6	243	TRUE	0.0910066604770255	0.904168617202085	0.616823444878682	769	44.5659990768763	197	163.001054908382	112.071818023687	755	24	56.4610378220677	0.0828885355537641	10	0.0485066070815864	4294750	4204750	0.0346631183416602	4172500	4672500	15
20211122 150751	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	38.2	223	TRUE	0.170238392297761	0.435008194564725	0.873372841716046	292	31.1466715036659	164	122.430955565069	34.1766644397285	10306	15	29.8636761456728	0.696799683678197	10	0.0515101303005197	4341125	3986125	0.0546057091210364	4343750	4243750	16
20211122 151105	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	186.5	322	TRUE	0.0326390078091063	0.970793860387057	0.849745347580174	525	12.7654715001699	238	61.3065860385541	165.372184090083	65	2355	81.0839724354446	0.713379240265233	10	0.0437280844903049	5703500	5598500	0.0469148820432996	5642500	5542500	17
20211122 151504	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	115.7	251	TRUE	0.0770153169875266	0.30805668054265	0.81455558522779	639	47.3597251981846	148	87.9692965443246	174.606347184163	22367	7	21.506502836477	0.671813500708842	10	0.0437523536943587	3964875	4054875	0.0436008803862988	4037500	4137500	18
20211122 151834	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	137.3	303	TRUE	0.0385939136893721	0.602565256535308	0.34779673784913	975	8.48456481646281	176	82.1870338334702	23.5057574836537	861	224	55.1353244562633	0.895826187844446	10	0.0469968952156193	4760250	4620250	0.0476011147096483	4790000	4740000	19
20211122 152309	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	158.9	261	TRUE	0.0650546195352217	0.234206568081863	0.970252362525789	589	10.8252444025129	111	41.4121702453122	137.133613174083	40	4070	85.8572096819989	0.758828559852613	10	0.0398734653912781	5794250	5564250	0.0385294536081611	5895000	5645000	20
20211122 152625	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	40.1	230	TRUE	0.131849666342605	0.481323068712954	0.464793344413629	554	18.5059047740651	61	136.215130698401	146.288884745445	1473	22	49.7399895847775	0.147438997261284	10	0.0493920145949972	4367500	4112500	0.0296921158561589	4315000	4615000	21
20211122 152834	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	15.8	222	TRUE	0.174903293052688	0.153176570526557	0.18532370627101	653	22.2863485224661	83	199.040210344829	72.8672761353664	153	849	72.4570538490079	0.605361221756088	10	0.0471893751098391	3426500	3516500	0.0442452695973823	3791250	3741250	22
20211122 152931	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9.2	220	TRUE	0.195864241810166	0.732350383963785	0.116775702662999	63	3.34255300054792	229	112.619299831567	51.9739295274485	21	2554	92.0883069932461	0.250057677650242	10	0.047821211284343	3922125	3727125	0.0451741943042689	3952500	3702500	23
20211122 153223	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	99.8	234	TRUE	0.116017295785481	0.139784391455469	0.382173009786638	976	32.2118675871752	286	128.027020748705	122.794671891024	4919	37	37.5197358289734	0.839690108531038	10	0.0535562752629861	3455500	3535500	0.0608236465734395	3515000	3465000	24
20211122 153353	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	46.8	226	TRUE	0.150979951536981	0.674415641747182	0.655027195448056	271	12.1190651328652	265	54.3260564026423	199.878427155782	236	283	68.1300243702717	0.311419191898254	10	0.0472655301984217	5380125	5145125	0.044688810223193	5375000	5425000	25
